T,cv,entropy,internal_energy,helmholtz_free_energy
0.0,0.0,0.0,11731.24451377555,11731.24451377555
10.0,0.018324618094353637,0.005950521599020556,11731.289014425542,11731.229511083016
20.0,0.2510421686324576,0.06425849719209013,11732.250496333045,11730.965328262826
30.0,1.2398601892243444,0.3215195308737503,11738.924404001233,11729.278819949708
40.0,3.0174264652347422,0.9077969744522439,11759.73003685602,11723.418159755942
50.0,5.14413139261349,1.806766385971288,11800.412508655067,11710.074191241007
60.0,7.313592615458136,2.936952079371231,11862.730787489863,11686.513664622047
70.0,9.425876925168852,4.22382316938916,11946.483425219432,11650.815805270026
80.0,11.480496924029955,5.617122832775288,12051.054447093924,11601.684622396437
90.0,13.497984301420006,7.086096460604831,12175.971024467915,11538.222344957963
100.0,15.488949275603174,8.611522912333053,12320.927418645135,11459.77512937946
110.0,17.449709064703463,10.180015837813002,12485.650353888042,11365.84861372255
120.0,19.367349639592984,11.78092753263137,12669.778192420223,11256.0668905278
130.0,21.225790441653118,13.40497561542394,12872.799864454315,11130.153036504966
140.0,23.010039203818657,15.043771465968797,13094.046310546213,10987.91830740168
150.0,24.708378866065836,16.68973348804169,13332.7138342529,10829.253813175861
160.0,26.31304626806091,18.336118128497944,13587.90122467273,10654.122326283026
170.0,27.820033482390556,19.977053516627187,13858.648807678872,10462.549712065455
180.0,29.228482151360183,21.607538794714788,14143.973163426273,10254.616182636379
190.0,30.53996065259873,23.223406741367018,14442.89502483099,10030.447746277758
200.0,31.75777744421571,24.821259353139297,14754.4600438599,9790.208175588301
210.0,32.886397114694006,26.39838795507812,15077.753174456182,9534.091706297668
220.0,33.93097670711554,27.95268748729244,15411.907815710485,9262.316570967407
230.0,34.897015500714204,29.48257178313909,15756.110896999671,8975.119389393905
240.0,35.79010141056947,30.986894082262015,16109.604959842934,8672.750382672728
250.0,36.61573480409034,32.46487505381174,16471.68810664741,8355.469345824973
260.0,37.37921182119972,33.91603924354729,16841.71249903907,8023.542298406368
270.0,38.085551999486114,35.340159988855696,17219.081922325648,7677.238728084471
280.0,38.73945800548454,36.73721233564964,17603.248795698393,7316.829344527705
290.0,39.34529803460724,38.107333226512544,17993.710899912425,6942.584267097354
300.0,39.90710377090484,39.45078812335654,18390.00801184338,6554.771577773272
310.0,40.42857866377217,40.767943218437054,18791.71857393361,6153.656179219128
320.0,40.913112724845604,42.0592424330386,19198.45648166615,5739.498906159763
330.0,41.363801143048825,43.325188476382365,19609.868039973167,5312.555845898646
340.0,41.78346482980695,44.56632732140572,20025.629116741504,4873.077830661618
350.0,42.17467160313778,45.78323553898523,20445.442505839343,4421.310070459621
360.0,42.53975715118539,46.97651001234384,20869.03550145234,3957.491900341309
370.0,42.880845224572525,48.14675962604789,21296.157678555453,3481.856620318696
380.0,43.19986672501412,49.29459858812529,21726.578869994963,2994.631409977053
390.0,43.498577509449284,50.42064109939465,22160.087328135327,2496.0373029103434
400.0,43.778574832823125,51.52549713160399,22596.48805777138,1986.289208738402
410.0,44.04131242212796,52.60976911621506,23035.601306608864,1465.595972639432
420.0,44.288114219331966,53.67404937951296,23477.261199784793,934.1604641386268
430.0,44.520186858615396,54.718918188034536,23921.31450542594,392.17968839128076
440.0,44.738630959140124,55.744942291908814,24367.619518985528,-160.15508556288484
450.0,44.9444513221614,56.752673873314144,24816.04505495381,-722.6581840744806
460.0,45.1385661233456,57.74264982352104,25266.469535440207,-1295.1493793444647
470.0,45.32181518959609,58.715391285458004,25718.780166028195,-1877.453734029821
480.0,45.494967445854016,59.67140340987669,26172.87219017902,-2469.401442382026
490.0,45.65872761217428,60.61117528240132,26628.648214290286,-3070.82766983381
